주소,건물명,건축년도,면적,층,계약월,건물용도,월별평균 매매가,매매지수,월별평균 전세가,전세지수,2년매매가 평균,구,상세주소,기존 전세가,전세가율
강서구 방화동 793-0,현대,1993,85,2층 초과,2023-07-01,아파트,73500.0,90.277,40000.0,81.465,85835.47606111651,강서구,방화동 793-0,53000.0,61.746031398792475
동대문구 제기동 892-66,현대,1999,91,2층 초과,2023-07-01,아파트,80000.0,89.772,41775.0,86.164,98476.26476417012,동대문구,제기동 892-66,51105.7755,51.89654138729526
노원구 월계동 929-0,현대,2000,115,2층 초과,2023-07-01,아파트,88000.0,88.952,48000.0,83.126,109199.376875,노원구,월계동 929-0,44250.0,40.52220925276227
강동구 상일동 490-0,고덕리엔파크3단지,2011,85,2층 초과,2023-07-01,아파트,89750.0,94.01,50509.99999999999,85.841,104759.279073551,강동구,상일동 490-0,43631.66666666666,41.649452967343414
도봉구 방학동 507-0,우성아파트1,1992,72,2층 초과,2023-07-01,아파트,45900.00000000001,85.441,28000.0,83.071,57490.37192629225,도봉구,방학동 507-0,32298.28821416388,56.18034312871231
관악구 신림동 1730-0,신림푸르지오,2005,85,2층 초과,2023-07-01,아파트,89000.0,91.077,52500.0,81.528,96750.28474236361,관악구,신림동 1730-0,50041.66666666666,51.72250066232119
영등포구 영등포동7가 208-0,포레나 영등포 센트럴,2020,18,2층 초과,2023-07-01,오피스텔,21000.0,92.435,21000.0,85.883,21965.29862228475,영등포구,영등포동7가 208-0,22219.67545435387,101.15808501602179
마포구 대흥동 806-0,신촌그랑자이(1단지),2020,60,2층 초과,2023-07-01,아파트,140250.0,93.358,71333.33333333333,86.975,140356.14866349185,마포구,대흥동 806-0,84000.0,59.8477521646683
마포구 대흥동 806-0,신촌그랑자이(1단지),2020,85,2층 초과,2023-07-01,아파트,169300.0,93.358,82600.0,86.975,179028.05157186487,마포구,대흥동 806-0,107500.0,60.046455880042735
양천구 신정동 1293-0,학마을1단지,2000,50,2층 초과,2023-07-01,아파트,51500.0,94.465,23833.33333333333,81.59,60965.307557696615,양천구,신정동 1293-0,34000.0,55.769422581560725
도봉구 쌍문동 59-5,한양6,2002,84,2층 초과,2023-07-01,아파트,52700.00000000001,85.441,33000.0,83.071,59846.88869562119,도봉구,쌍문동 59-5,34175.0,57.10405460476423
관악구 신림동 1424-28,태영,1997,50,2층 초과,2023-07-01,아파트,40000.0,91.077,29000.000000000004,81.528,48065.85700213318,관악구,신림동 1424-28,26339.329344929865,54.7984182280593
노원구 중계동 502-1,중계그린1단지,1990,44,2층 초과,2023-07-01,아파트,48299.99999999999,88.952,23000.0,83.126,57001.88375912536,노원구,중계동 502-1,26000.0,45.61252766639961
노원구 중계동 502-1,중계그린1단지,1990,50,2층 초과,2023-07-01,아파트,53450.0,88.952,23775.0,83.126,59911.87039099506,노원구,중계동 502-1,25458.33333333333,42.492970369958265
